S/N,RegNo,CAT(40%),EXAM(60%),,,,,,,,,,,,
124,U19CS1124,13,27,,,,,,,,,,,,
125,U19CS1125,14,57,,,,,,,,,,,,
126,U19CS1126,14,44,,,,,,,,,,,,
127,U19CS1127,0,0,,,,,,,,,,,,
128,U19CS1128,10.5,44.5,,,,,,,,,,,,
129,U19CS1129,8,49,,,,,,,,,,,,
130,U19CS1130,13,43,,,,,,,,,,,,
131,U19CS1131,11,54,,,,,,,,,,,,
132,U19CS1132,20,54,,,,,,,,,,,,
133,U19CS1133,11.5,41.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
