S/N,RegNo,CAT(30%),EXAM(70%),,,,,,,,,,,,
127,U19CS1127,18,46,,,,,,,,,,,,
128,U19CS1128,10,22,,,,,,,,,,,,
129,U19CS1129,10,44,,,,,,,,,,,,
130,U19CS1130,10,40,,,,,,,,,,,,
131,U19CS1131,20,48,,,,,,,,,,,,
132,U19CS1132,24,24,,,,,,,,,,,,
133,U19CS1133,14,34,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
